DateTime,Log Description,Action
2022-11-20 13:22:46,Slave1 BMS Communication failure,Cleared
2022-11-20 13:24:26,Slave1 BMS Communication failure,Cleared
2022-11-20 13:29:38,Slave1 BMS Communication failure,Cleared
2022-11-20 13:30:59,Slave1 BMS Communication failure,Cleared
2022-11-20 13:31:17,Slave1 BMS Communication failure,Cleared
2022-11-20 13:32:14,Slave1 BMS Communication failure,Cleared
2022-11-20 13:35:05,Slave1 BMS Communication failure,Cleared
2022-11-20 13:37:35,Slave1 BMS Communication failure,Cleared
2022-11-20 13:38:59,Slave1 BMS Communication failure,Cleared
2022-11-20 13:40:56,Slave1 BMS Communication failure,Cleared
2022-11-20 13:42:28,Slave1 BMS Communication failure,Cleared
2022-11-20 13:43:11,Slave1 BMS Communication failure,Cleared
2022-11-20 13:50:32,Slave1 BMS Communication failure,Cleared
2022-11-20 13:51:56,Slave1 BMS Communication failure,Cleared
2022-11-20 13:53:25,Slave1 BMS Communication failure,Cleared
2022-11-20 13:57:23,Slave1 BMS Communication failure,Cleared
2022-11-20 14:02:19,Slave1 BMS Communication failure,Cleared
2022-11-20 14:03:11,Slave1 BMS Communication failure,Cleared
2022-11-20 14:14:23,Slave1 BMS Communication failure,Cleared
2022-11-20 14:31:23,Slave1 BMS Communication failure,Cleared
2022-11-20 14:34:55,Slave1 BMS Communication failure,Cleared
2022-11-20 14:36:34,Slave1 BMS Communication failure,Cleared
2022-11-20 14:37:09,Slave1 BMS Communication failure,Cleared
2022-11-20 14:37:51,Slave1 BMS Communication failure,Cleared
2022-11-20 14:42:40,Slave1 BMS Communication failure,Cleared
2022-11-20 14:43:19,Slave1 BMS Communication failure,Cleared
2022-11-20 14:43:40,Slave1 BMS Communication failure,Cleared
2022-11-20 14:44:06,Slave1 BMS Communication failure,Cleared
2022-11-20 14:44:48,Slave1 BMS Communication failure,Cleared
2022-11-20 14:47:57,Slave1 BMS Communication failure,Cleared
2022-11-20 14:48:36,Slave1 BMS Communication failure,Cleared
2022-11-20 14:50:15,Slave1 BMS Communication failure,Cleared
2022-11-20 14:51:58,Slave1 BMS Communication failure,Cleared
2022-11-20 15:09:40,Slave1 BMS Communication failure,Cleared
2022-11-20 15:10:12,Slave1 BMS Communication failure,Cleared
2022-11-20 15:11:01,Slave1 BMS Communication failure,Cleared
2022-11-20 15:13:43,Slave1 BMS Communication failure,Cleared
2022-11-20 15:14:27,Slave1 BMS Communication failure,Cleared
2022-11-20 15:26:49,Slave1 BMS Communication failure,Cleared
2022-11-20 15:40:31,Slave1 BMS Communication failure,Cleared
2022-11-20 15:40:46,Slave1 BMS Communication failure,Cleared
2022-11-20 15:41:04,Slave1 BMS Communication failure,Cleared
2022-11-20 15:43:00,Slave1 BMS Communication failure,Cleared
2022-11-20 15:57:58,Slave1 BMS Communication failure,Cleared
2022-11-20 15:59:04,Slave1 BMS Communication failure,Cleared
2022-11-20 15:59:28,Slave1 BMS Communication failure,Cleared
2022-11-20 16:02:34,Slave1 BMS Communication failure,Cleared
2022-11-20 16:04:31,Slave1 BMS Communication failure,Cleared
2022-11-20 16:05:04,Slave1 BMS Communication failure,Cleared
2022-11-20 16:05:34,Slave1 BMS Communication failure,Cleared
2022-11-20 16:06:19,Slave1 BMS Communication failure,Cleared
2022-11-20 16:11:43,Slave1 BMS Communication failure,Cleared
2022-11-20 16:12:49,Slave1 BMS Communication failure,Cleared
2022-11-20 16:13:10,Slave1 BMS Communication failure,Cleared
2022-11-20 16:17:30,Slave1 BMS Communication failure,Cleared
2022-11-20 16:20:46,Slave1 BMS Communication failure,Cleared
2022-11-20 16:21:22,Slave1 BMS Communication failure,Cleared
2022-11-20 16:23:07,Slave1 BMS Communication failure,Cleared
2022-11-20 16:25:04,Slave1 BMS Communication failure,Cleared
2022-11-20 16:25:55,Slave1 BMS Communication failure,Cleared
2022-11-20 16:29:37,Slave1 BMS Communication failure,Cleared
2022-11-20 16:32:10,Slave1 BMS Communication failure,Cleared
2022-11-20 16:35:58,Slave1 BMS Communication failure,Cleared
2022-11-20 16:37:13,Slave1 BMS Communication failure,Cleared
2022-11-20 16:41:28,Slave1 BMS Communication failure,Cleared
2022-11-20 16:43:01,Slave1 BMS Communication failure,Cleared
2022-11-20 16:43:46,Slave1 BMS Communication failure,Cleared
2022-11-20 16:44:16,Slave1 BMS Communication failure,Cleared
2022-11-20 16:45:43,Slave1 BMS Communication failure,Cleared
2022-11-20 16:46:10,Slave1 BMS Communication failure,Cleared
2022-11-20 16:46:25,Slave1 BMS Communication failure,Cleared
2022-11-20 16:48:06,Slave1 BMS Communication failure,Cleared
2022-11-20 16:50:27,Slave1 BMS Communication failure,Cleared
2022-11-20 16:51:53,Slave1 BMS Communication failure,Cleared
2022-11-20 16:52:35,Slave1 BMS Communication failure,Cleared
2022-11-20 16:53:08,Slave1 BMS Communication failure,Cleared
2022-11-20 16:54:23,Slave1 BMS Communication failure,Cleared
2022-11-20 16:58:42,Slave1 BMS Communication failure,Raised
2022-11-20 16:58:53,Slave1 BMS Communication failure,Cleared
2022-11-20 16:59:20,Slave1 BMS Communication failure,Raised
2022-11-22 10:07:39,Slave1 BMS Communication failure,Cleared
2022-11-22 10:07:39,Slave1 BMS Communication failure,Raised
2022-11-22 10:14:40,Slave1 BMS Communication failure,Cleared
2022-11-22 10:24:34,Slave1 BMS Communication failure,Raised
2022-11-22 10:28:33,Slave1 BMS Communication failure,Cleared
2022-11-22 10:41:17,Slave1 BMS Communication failure,Cleared
2022-11-22 11:18:51,Slave1 BMS Communication failure,Raised
2022-11-22 11:55:18,Slave1 BMS Communication failure,Cleared
2022-11-22 12:11:12,Slave1 BMS Communication failure,Raised
2022-11-22 13:11:52,Slave1 BMS Communication failure,Cleared
2022-11-22 13:19:26,Slave1 BMS Communication failure,Cleared
2022-11-22 13:20:09,Slave1 BMS Communication failure,Raised
2022-11-22 13:20:22,Slave1 BMS Communication failure,Cleared
2022-11-22 13:21:02,Slave1 BMS Communication failure,Cleared
2022-11-22 13:21:06,Slave1 BMS Communication failure,Raised
2022-11-22 13:21:11,Slave1 BMS Communication failure,Cleared
2022-11-22 13:23:44,Slave1 BMS Communication failure,Cleared
2022-11-22 13:23:47,Slave1 BMS Communication failure,Raised
2022-11-22 13:23:53,Slave1 BMS Communication failure,Cleared
2022-11-22 13:28:21,Slave1 BMS Communication failure,Raised
2022-11-22 13:28:28,Slave1 BMS Communication failure,Cleared
2022-11-22 13:28:50,Slave1 BMS Communication failure,Cleared
2022-11-22 13:28:52,Slave1 BMS Communication failure,Raised
2022-11-22 13:29:00,Slave1 BMS Communication failure,Cleared
2022-11-22 13:46:47,Slave1 BMS Communication failure,Cleared
2022-11-22 13:58:08,Slave1 BMS Communication failure,Cleared
2022-11-22 14:00:53,Slave1 BMS Communication failure,Cleared
2022-11-22 14:32:20,Slave1 BMS Communication failure,Cleared
2022-11-22 14:35:26,Slave1 BMS Communication failure,Cleared
2022-11-22 14:36:53,Slave1 BMS Communication failure,Cleared
2022-11-22 14:38:56,Slave1 BMS Communication failure,Cleared
2022-11-22 14:39:50,Slave1 BMS Communication failure,Cleared
2022-11-22 14:41:05,Slave1 BMS Communication failure,Cleared
2022-11-22 16:03:36,Slave1 BMS Communication failure,Cleared
2022-11-22 16:05:47,Slave1 BMS Communication failure,Cleared
