DateTime,Log Description,Action
2022-11-24 08:41:46.508126,Slave1 BMS Communication failure,Raised
2022-11-24 08:45:32.446785,Slave1 BMS Communication failure,Raised
2022-11-24 08:47:58.161881,Slave1 BMS Communication failure,Raised
2022-11-24 11:01:19.225657,Slave1 BMS Communication failure,Raised
2022-11-24 11:01:27.922385,Slave1 BMS Communication failure,Raised
2022-11-24 11:02:27.430278,Slave1 BMS Communication failure,Raised
2022-11-24 11:03:07.691100,Slave1 BMS Communication failure,Raised
2022-11-24 11:03:41.845364,Slave1 BMS Communication failure,Raised
2022-11-24 11:09:12.467489,Slave1 BMS Communication failure,Raised
2022-11-24 11:10:08.980792,Slave1 BMS Communication failure,Raised
2022-11-24 11:10:45.246876,Slave1 BMS Communication failure,Raised
2022-11-24 11:14:42.056590,Slave1 BMS Communication failure,Raised
2022-11-24 11:18:17.073950,Slave1 BMS Communication failure,Raised
2022-11-24 11:21:11.451683,Slave1 BMS Communication failure,Raised
2022-11-24 11:21:54.935229,Slave1 BMS Communication failure,Raised
2022-11-24 11:22:19.966284,Slave1 BMS Communication failure,Raised
2022-11-24 11:34:19.459212,Slave1 BMS Communication failure,Raised
2022-11-24 11:38:46.957039,Slave1 BMS Communication failure,Raised
2022-11-24 11:40:11.846289,Slave1 BMS Communication failure,Raised
2022-11-24 11:40:21.017460,Slave1 BMS Communication failure,Raised
2022-11-24 11:41:19.100785,BMS Reset by operator,N/A
2022-11-24 11:41:43.496841,BMS Reset by operator,N/A
2022-11-24 12:05:07.887071,Slave1 BMS Communication failure,Raised
2022-11-24 15:46:52.744338,Slave1 BMS Communication failure,Raised
2022-11-24 15:50:09.476916,Slave1 BMS Communication failure,Raised
2022-11-24 15:50:44.709703,Slave1 BMS Communication failure,Raised
2022-11-24 16:23:13.136647,Slave1 BMS Communication failure,Raised
2022-11-24 16:25:59.265131,Slave1 BMS Communication failure,Raised
2022-11-24 16:26:44.525156,Slave1 BMS Communication failure,Raised
